mass br_wb br_zt br_ht s_l
330 0.5812501224670301 0.10397322311221982 0.3147766544207501 0.1
331 0.5790658085335114 0.10445073684191412 0.3164834546245744 0.1
332 0.5769629911779001 0.10493028790032997 0.31810672092176984 0.1
333 0.5749372123529318 0.10541157844929017 0.31965120919777795 0.1
334 0.5729843533422004 0.10589433773012895 0.32112130892767055 0.1
335 0.5711006011963334 0.10637831908604668 0.32252107971761984 0.1
336 0.5692824192518742 0.10686329737425347 0.3238542833738724 0.1
337 0.5675265211460896 0.10734906670898811 0.3251244121449223 0.1
338 0.5658298478377165 0.10783543848656313 0.3263347136757205 0.1
339 0.5641895472225262 0.10832223965173815 0.3274882131257355 0.1
340 0.5626029559971781 0.10880931117136385 0.32858773283145803 0.1
341 0.5610675834780182 0.10929650668666885 0.329635909835313 0.1
342 0.5595810971254834 0.10978369132003875 0.3306352115544779 0.1
343 0.558141309561342 0.11027074061581987 0.33158794982283823 0.1
344 0.5567461668965404 0.11075753959775266 0.332496293505707 0.1
345 0.5553937382130191 0.11124398192818923 0.33336227985879163 0.1
346 0.5540822060644165 0.11172996915638661 0.3341878247791969 0.1
347 0.5528098578787776 0.11221541004496259 0.33497473207625994 0.1
348 0.5515750781618344 0.11270021996511162 0.33572470187305414 0.1
349 0.5503763414125568 0.11318432035245896 0.3364393382349842 0.1
350 0.5492122056739007 0.1136676382165139 0.33712015610958546 0.1
351 0.5480813066512811 0.11415010569761051 0.3377685876511084 0.1
352 0.5469823523395734 0.11463165966600897 0.33838598799441766 0.1
353 0.5459141181065443 0.11511224135850817 0.3389736405349475 0.1
354 0.5448754421867813 0.11559179604850209 0.3395327617647167 0.1
355 0.5438652215455112 0.11607027274590694 0.34006450570858177 0.1
356 0.5428824080763366 0.11654762392382305 0.34056996799984035 0.1
357 0.5419260051009468 0.11702380526916427 0.3410501896298889 0.1
358 0.5409950641423952 0.1174987754548136 0.3415061604027913 0.1
359 0.5400886819466056 0.11797249593114593 0.34193882212224846 0.1
360 0.5392059977294901 0.11844493073500122 0.3423490715355088 0.1
361 0.5383461906294257 0.11891604631440963 0.3427377630561646 0.1
362 0.53750847734695 0.1193858113675551 0.3431057112854949 0.1
363 0.5366921099553684 0.11985419669462898 0.3434536933500025 0.1
364 0.5358963738676211 0.1203211750613713 0.3437824510710077 0.1
365 0.535120585946193 0.1207867210732221 0.34409269298058476 0.1
366 0.5343640927441542 0.12125081105912101 0.3443850961967248 0.1
367 0.5336262688665477 0.12171342296408857 0.3446603081693637 0.1
368 0.532906515442383 0.12217453624981393 0.34491894830780306 0.1
369 0.5322042586983866 0.12263413180255033 0.345161609499063 0.1
370 0.5315189486264902 0.12309219184768809 0.3453888595258218 0.1
371 0.5308500577377614 0.12354869987043857 0.3456012423918 0.1
372 0.5301970798961387 0.12400364054211445 0.3457992795617469 0.1
373 0.5295595292259198 0.12445699965154387 0.3459834711225363 0.1
374 0.5289369390874833 0.12490876404119736 0.34615429687131943 0.1
375 0.5283288611161996 0.1253589215476465 0.3463122173361539 0.1
376 0.5277348643199204 0.12580746094600884 0.3464576747340708 0.1
377 0.5271545342308183 0.12625437189806316 0.3465910938711187 0.1
378 0.5265874721077056 0.12669964490375127 0.346712882988543 0.1
379 0.5260332941852823 0.12714327125580252 0.3468234345589152 0.1
380 0.5254916309670393 0.1275852429972456 0.34692312603571507 0.1
381 0.5249621265588228 0.12802555288158937 0.3470123205595878 0.1
382 0.5244444380402888 0.12846419433547474 0.34709136762423637 0.1
383 0.5239382348717057 0.1289011614236145 0.3471606037046798 0.1
384 0.5234431983337492 0.12933644881585718 0.3472203528503936 0.1
385 0.5229590209981252 0.1297700517562203 0.34727092724565445 0.1
386 0.5224854062270139 0.13020196603375409 0.3473126277392321 0.1
387 0.5220220676994781 0.13063218795510692 0.34734574434541493 0.1
388 0.5215687289631263 0.13106071431867422 0.3473705567181995 0.1
389 0.5211251230094297 0.13148754239022206 0.3473873346003482 0.1
390 0.5206909918712297 0.13191266987988537 0.34739633824888505 0.1
391 0.5202660862410562 0.13233609492044807 0.3473978188384957 0.1
392 0.5198501651089946 0.13275781604682088 0.3473920188441845 0.1
393 0.5194429954189135 0.13317783217663648 0.34737917240445004 0.1
